"cluster"	"cluster_size"	"sumlog"
1	203	3.99408830113254e-34
2	39	5.64626157198429e-05
5	19	3.69427541268366e-06
6	20	0.000583318776696601
7	20	1.01666576771427e-07
9	19	0.00400395878957464
10	16	3.4164352189783e-06
11	16	0.00750049425520231
12	17	5.93837648783115e-06
13	15	0.00864218483792604
25	6	1.48458731368744e-05
35	6	0.00636585500541141
48	3	0.00164365956785749
60	2	0.00181749542856589
63	2	0.00357838101837814
67	2	0.00134631651105851
