"cluster"	"cluster_size"	"sumlog"
1	207	0.0014048018640408
17	5	2.65999805944472e-49
24	2	0.000536744059613618
34	2	1.65068115894735e-05
36	2	0.00207976455484575
38	2	3.87609862554288e-05
39	2	8.15713990178562e-19
41	2	2.97319634717271e-08
44	2	1.99373026450656e-29
47	2	0.00071843810912242
48	2	5.02764681018956e-05
49	2	0.00592460061488808
50	2	4.45290221771652e-13
