"cluster"	"cluster_size"	"sumlog"
1	211	2.54172223761132e-05
16	11	2.46499723249147e-21
44	3	0.00161760332286154
85	2	1.99373026450656e-29
90	2	0.000352441273166236
92	2	5.02764681018956e-05
94	2	4.45290221771652e-13
